order_id,shop_id,user_id,order_amount,total_items,payment_method,created_at,shoe_price
1,53,746,224,2,cash,13/03/2017 12:36,112
2,92,925,90,1,cash,03/03/2017 17:38,90
3,44,861,144,1,cash,14/03/2017 4:23,144
4,18,935,156,1,credit_card,26/03/2017 12:43,156
5,18,883,156,1,credit_card,01/03/2017 4:35,156
6,58,882,138,1,credit_card,14/03/2017 15:25,138
7,87,915,149,1,cash,01/03/2017 21:37,149
8,22,761,292,2,cash,08/03/2017 2:05,146
9,64,914,266,2,debit,17/03/2017 20:56,133
10,52,788,146,1,credit_card,30/03/2017 21:08,146
11,66,848,322,2,credit_card,26/03/2017 23:36,161
12,40,983,322,2,debit,12/03/2017 17:58,161
13,54,799,266,2,credit_card,16/03/2017 14:15,133
14,100,709,111,1,cash,22/03/2017 2:39,111
15,87,849,447,3,credit_card,10/03/2017 11:23,149
16,42,607,704000,2000,credit_card,07/03/2017 4:00,352
17,17,731,176,1,cash,21/03/2017 4:23,176
18,28,752,164,1,credit_card,21/03/2017 12:09,164
19,83,761,258,2,cash,17/03/2017 13:18,129
20,63,898,408,3,credit_card,29/03/2017 15:11,136
21,66,987,322,2,cash,30/03/2017 20:11,161
22,97,789,486,3,credit_card,04/03/2017 15:44,162
23,88,985,704,4,credit_card,22/03/2017 1:19,176
24,75,964,256,2,credit_card,12/03/2017 3:07,128
25,73,917,495,3,cash,03/03/2017 13:01,165
26,82,848,177,1,cash,25/03/2017 21:35,177
27,47,882,145,1,cash,22/03/2017 7:38,145
28,53,942,112,1,credit_card,17/03/2017 9:41,112
29,40,944,322,2,cash,05/03/2017 2:12,161
30,59,790,178,1,credit_card,04/03/2017 22:49,178
31,76,857,310,2,cash,23/03/2017 21:34,155
32,57,839,294,2,debit,19/03/2017 5:31,147
33,76,712,465,3,credit_card,10/03/2017 23:54,155
34,7,800,224,2,credit_card,03/03/2017 5:31,112
35,34,704,244,2,debit,13/03/2017 0:00,122
36,61,781,316,2,cash,08/03/2017 15:57,158
37,84,979,459,3,credit_card,05/03/2017 22:44,153
38,66,961,322,2,credit_card,14/03/2017 6:04,161
39,10,921,148,1,credit_card,06/03/2017 5:51,148
40,61,756,316,2,credit_card,07/03/2017 17:03,158
41,42,793,352,1,credit_card,24/03/2017 14:15,352
42,1,847,316,2,debit,20/03/2017 14:58,158
43,18,934,624,4,debit,21/03/2017 6:59,156
44,21,792,284,2,credit_card,08/03/2017 4:16,142
45,99,759,195,1,credit_card,02/03/2017 8:13,195
46,29,969,652,4,credit_card,04/03/2017 8:58,163
47,33,954,346,2,cash,25/03/2017 14:18,173
48,52,791,438,3,cash,05/03/2017 15:50,146
49,3,714,296,2,debit,20/03/2017 16:48,148
50,64,768,399,3,debit,02/03/2017 17:26,133
51,58,984,276,2,debit,23/03/2017 7:05,138
52,81,959,531,3,cash,25/03/2017 22:58,177
53,30,968,459,3,cash,28/03/2017 8:15,153
